side,symbol,shares,price,date,state
sell,AUPH,1.00000000,15.31000000,2020-06-15T13:30:01.558000Z,filled
buy,DISH,1.00000000,31.70000000,2020-06-15T13:30:00.192000Z,filled
buy,PLUG,1.00000000,5.06000000,2020-06-12T14:49:53.795000Z,filled
buy,DELL,1.00000000,47.26000000,2020-06-12T14:48:35.652000Z,filled
sell,FIT,1.00000000,6.09000000,2020-06-12T14:47:50.038000Z,filled
buy,DBX,1.00000000,20.50000000,2020-06-11T21:49:39.206000Z,filled
buy,HPE,1.00000000,9.85000000,2020-06-11T21:48:58.409000Z,filled
buy,FIT,2.00000000,6.14000000,2020-06-11T21:46:40.362000Z,filled
buy,DELL,0.00000000,,2020-06-12T14:48:42.043000Z,cancelled
buy,DISH,0.00000000,,2020-06-12T23:39:48.815907Z,cancelled
sell,LYFT,0.00000000,,2020-06-12T14:50:31.842000Z,cancelled
sell,GNUS,1.00000000,3.36000000,2020-06-11T20:43:50.257000Z,filled
buy,GNUS,1.00000000,3.60000000,2020-06-11T18:26:03.542000Z,filled
buy,GNUS,0.00000000,,2020-06-11T22:00:15.160000Z,cancelled
sell,GNUS,0.00000000,,2020-06-11T20:00:01.052000Z,cancelled
sell,HYRE,0.00000000,,2020-06-11T20:25:03.070000Z,cancelled
buy,PLUG,1.00000000,4.97000000,2020-06-11T18:10:27.832000Z,filled
buy,AUPH,1.00000000,14.75000000,2020-06-11T16:18:40.795000Z,filled
buy,PLUG,0.00000000,,2020-06-12T14:49:58.856000Z,cancelled
buy,VWAGY,1.00000000,16.50000000,2020-06-11T13:30:01.206000Z,filled
sell,GNUS,2.00000000,3.34000000,2020-06-11T13:30:29.450000Z,filled
buy,GNUS,2.00000000,3.12000000,2020-06-11T16:52:30.233000Z,filled
buy,HYRE,5.00000000,2.53000000,2020-06-11T13:30:01.519000Z,filled
buy,LYFT,1.00000000,36.12000000,2020-06-11T13:30:05.661000Z,filled
buy,VWAGY,0.00000000,,2020-06-10T23:34:03.814690Z,cancelled
sell,DISH,1.00000000,31.54000000,2020-06-11T13:30:11.638000Z,filled
buy,TMUS,1.00000000,104.51000000,2020-06-11T13:30:01.230000Z,filled
buy,LLNW,1.00000000,5.30000000,2020-06-10T18:35:35.054000Z,filled
buy,HYRE,1.00000000,2.64000000,2020-06-10T17:53:54.815000Z,filled
buy,INPX,3.00000000,1.89000000,2020-06-10T17:53:21.965000Z,filled
sell,VWAGY,1.00000000,17.56000000,2020-06-10T17:53:06.799000Z,filled
sell,DISH,0.00000000,,2020-06-10T22:00:02.465000Z,cancelled
buy,IDEX,7.00000000,1.14000000,2020-06-10T17:47:52.111000Z,filled
sell,SNAP,1.00000000,20.96000000,2020-06-10T17:39:17.724000Z,filled
sell,GNUS,0.00000000,,2020-06-10T20:40:02.947000Z,cancelled
buy,GNUS,2.00000000,5.41500000,2020-06-10T14:59:51.735000Z,filled
sell,VWAGY,1.00000000,17.49000000,2020-06-10T14:59:40.859000Z,filled
sell,SWN,1.00000000,3.51000000,2020-06-10T14:58:24.546000Z,filled
buy,SWN,1.00000000,3.71000000,2020-06-09T21:39:26.739000Z,filled
sell,GNUS,1.00000000,3.91000000,2020-06-09T21:39:11.466000Z,filled
buy,VWAGY,1.00000000,17.99000000,2020-06-08T19:12:52.541000Z,filled
sell,GNUS,1.00000000,5.23000000,2020-06-08T19:12:11.548000Z,filled
sell,F,1.00000000,7.57000000,2020-06-08T13:30:03.210000Z,filled
buy,GNUS,2.00000000,11.23000000,2020-06-04T13:56:21.930000Z,filled
buy,SNAP,1.00000000,19.49000000,2020-06-04T13:30:03.955000Z,filled
sell,UNFI,1.00000000,20.49000000,2020-06-04T13:30:00.749000Z,filled
buy,GNUS,0.00000000,,2020-06-03T20:25:43.243000Z,cancelled
buy,VWAGY,2.00000000,17.15000000,2020-06-03T19:28:40.699000Z,filled
buy,DISH,1.00000000,33.96000000,2020-06-03T15:34:23.255000Z,filled
buy,UNFI,1.00000000,20.28000000,2020-06-03T15:32:05.867000Z,filled
buy,F,1.00000000,6.09000000,2020-06-03T15:22:00.726000Z,filled
